Essai RETRIEVAL7 (non gestion des décalages ⁾,,,"RETRIEVAL 8 (gestion décalage + retour à 0 quand sélection, ex P+S4)",,,RETRIEVAL 8 (same) mais reconstruction 3 (ajout d’espaces supplémentaires si retour plus long),,,Retrieval 9 (prise en compte effacement d’un effacement après un accent cironflexe et non ajout des end keys dans le csv) et reconstruction 3 ,,,Retrieval 10 (prise en compte des remplacements et certains caractères mal pris en compte (esperluette ou ponctuations après control) + reconstruction 4. Les réssultats sont les mêmes avec reconstruction 3 !,,,Retrieval 10 mais cette fois en faisant en sorte que si key = DELETE alors on ne prend pas en compte le remplacement ! Et reconstruction 4,,,Retrievval10 (en disant que si on appuie sur VK₁ si on a une value de 1 alors c’est bien 1 et pass & qui est mis) et reconstruction 4 (mais j’ai bien fait en sorte que si on a un remplacement seul on remplace par un espace) et on a adapté le script de conversion txt avec mammoth pour garder les tabulations,
P-S20,FALSE,,P-S20,FALSE,,P-S20,FALSE,,P-S20,FALSE,,P-S20,FALSE,,P-S20,FALSE,,P-S20,FALSE
P-S21,FALSE,,P-S21,FALSE,,P-S21,FALSE,,P-S21,FALSE,,P-S21,FALSE,,P-S21,FALSE,,P-S21,FALSE
P-S22,FALSE,,P-S22,FALSE,,P-S22,FALSE,,P-S22,FALSE,,P-S22,FALSE,,P-S22,FALSE,,P-S22,FALSE
P-S23,FALSE,,P-S23,FALSE,,P-S23,FALSE,,P-S23,FALSE,,P-S23,FALSE,,P-S23,FALSE,,P-S23,FALSE
P-S24,FALSE,,P-S24,FALSE,,P-S24,FALSE,,P-S24,FALSE,,P-S24,FALSE,,P-S24,FALSE,,P-S24,FALSE
P-S25,FALSE,,P-S25,FALSE,,P-S25,FALSE,,P-S25,FALSE,,P-S25,FALSE,,P-S25,FALSE,,P-S25,FALSE
P-S26,FALSE,,P-S26,FALSE,,P-S26,FALSE,,P-S26,FALSE,,P-S26,FALSE,,P-S26,FALSE,,P-S26,FALSE
P-S27,FALSE,,P-S27,FALSE,,P-S27,FALSE,,P-S27,FALSE,,P-S27,FALSE,,P-S27,FALSE,,P-S27,FALSE
P-S28,TRUE,,P-S28,TRUE,,P-S28,TRUE,,P-S28,TRUE,,P-S28,TRUE,,P-S28,TRUE,,P-S28,TRUE
P-S29,TRUE,,P-S29,TRUE,,P-S29,TRUE,,P-S29,TRUE,,P-S29,TRUE,,P-S29,TRUE,,P-S29,TRUE
,,,,,,,,,,,,,,,,,,,
TRUE 14,FALSE 42,,TRUE 16,FALSE 40,,TRUE 17,FALSE 39,,TRUE 18,FALSE 38,,TRUE 15,FALSE 41,,TRUE 19,FALSE 37,,TRUE 21,FALSE 35
